Output,MSE,MAE,R²
Overall,0.03741665227261098,0.09956889166258047,
steering,0.05255398800693501,0.13715412874798494,0.7441931056888731
braking,0.006503703215443757,0.022294665698331863,0.5324559216512933
acceleration,0.0531922655954538,0.13925788054142382,0.7719381011984329
