angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z,accel,brake,steer,clutch,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3
0.00894148,-0.722,0.0,5759.1,0.0,94.0,0,0.0,1,942.478,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.702,0.0,5759.1,0.0,94.0,0,0.0,1,942.478,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.682,0.0,5759.1,0.0,94.0,0,0.0,1,942.478,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.662,0.0,5759.1,0.0,94.0,0,0.0,1,942.478,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.642,0.0,5759.1,0.0,94.0,0,0.0,1,942.478,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.622,0.0,5759.1,0.0,94.0,0,0.0,1,942.478,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.602,0.0,5759.1,0.0,94.0,0,0.0,1,942.478,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.582,0.0,5759.1,0.0,94.0,0,0.0,1,1100.33,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.562,0.0,5759.1,0.0,93.9999,0,0.0,1,1263.95,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.542,0.0,5759.1,0.0,93.9998,0,0.0,1,1432.32,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.522,0.0,5759.1,0.0,93.9997,0,0.0,1,1605.57,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.502,0.0,5759.1,0.0,93.9997,0,0.0,1,1783.85,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.482,0.0,5759.1,0.0,93.9996,0,0.0,1,1967.31,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.462,0.0,5759.1,0.0,93.9995,0,0.0,1,2156.5,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.442,0.0,5759.1,0.0,93.9994,0,0.0,1,2359.56,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.422,0.0,5759.1,0.0,93.9993,0,0.0,1,2580.78,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.402,0.0,5759.1,0.0,93.9991,0,0.0,1,2821.75,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.382,0.0,5759.1,0.0,93.9989,0,0.0,1,3084.25,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.362,0.0,5759.1,0.0,93.9987,0,0.0,1,3368.7,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.342,0.0,5759.1,0.0,93.9985,0,0.0,1,3672.92,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
0.00894148,-0.322,0.0,5759.1,0.0,93.9982,0,0.0,1,3998.1,0.000308602,0.00128389,-0.000193009,-0.333363,0.345256,1.0,0,0,0.0,7.33374,7.60922,8.50537,10.4385,14.7757,21.468,27.865,39.8075,70.6072,200.0,49.8655,21.1133,13.9621,10.5624,7.24717,5.14528,4.2136,3.78723,3.66663,0.0,0.0,0.0,0.0
