timestamp,stage,max_episodes,current_episode,session_id,angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z,accel,brake,steer,clutch,manual_mode,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3
2025-05-06T18:47:55.207555,Race,1,0,20250506_184748,0.0097267,-0.742,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.227502,Race,1,0,20250506_184748,0.0097267,-0.722,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.249443,Race,1,0,20250506_184748,0.0097267,-0.702,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.267395,Race,1,0,20250506_184748,0.0097267,-0.682,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.288339,Race,1,0,20250506_184748,0.0097267,-0.662,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.309283,Race,1,0,20250506_184748,0.0097267,-0.642,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.328232,Race,1,0,20250506_184748,0.0097267,-0.622,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.349176,Race,1,0,20250506_184748,0.0097267,-0.602,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.369122,Race,1,0,20250506_184748,0.0097267,-0.582,0.0,2032.56,0.0,94.0,0,0.0,1,942.478,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
2025-05-06T18:47:55.387074,Race,1,0,20250506_184748,0.0097267,-0.562,0.0,2032.56,0.0,94.0,0,0.0,1,1100.33,-0.000652031,0.0028187,-0.000187591,0.333666,0.345609,1.0,0,0,0.0,1,4.99776,5.20374,5.88673,7.46211,11.9377,200.0,136.085,74.6352,51.6884,39.7652,32.5127,27.6758,24.065,21.1557,16.9477,13.2317,11.2588,10.2851,10.0029,0.0,0.0,0.0,0.0
