timestamp,stage,max_episodes,current_episode,session_id,angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z,accel,brake,steer,clutch,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3
2025-05-09T15:27:01.425608,Race,1,0,20250509_152659,1.74846e-07,-0.742,0.0,3160.83,0.0,94.0,0,0.0,1,956.317,0.0,0.0,-0.000605693,-0.333334,0.345263,0.21,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.447607,Race,1,0,20250509_152659,1.74846e-07,-0.722,0.0,3160.83,0.0,94.0,0,0.0,1,970.182,0.0,0.0,-0.000605693,-0.333334,0.345263,0.24,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.467179,Race,1,0,20250509_152659,1.74846e-07,-0.702,0.0,3160.83,0.0,94.0,0,0.0,1,988.739,0.0,0.0,-0.000605693,-0.333334,0.345263,0.26999999999999996,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.486724,Race,1,0,20250509_152659,1.74846e-07,-0.682,0.0,3160.83,0.0,94.0,0,0.0,1,1012.06,0.0,0.0,-0.000605693,-0.333334,0.345263,0.3,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.506188,Race,1,0,20250509_152659,1.74846e-07,-0.662,0.0,3160.83,0.0,94.0,0,0.0,1,1040.26,0.0,0.0,-0.000605693,-0.333334,0.345263,0.33,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.528413,Race,1,0,20250509_152659,1.74846e-07,-0.642,0.0,3160.83,0.0,94.0,0,0.0,1,1073.41,0.0,0.0,-0.000605693,-0.333334,0.345263,0.36000000000000004,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.548456,Race,1,0,20250509_152659,1.74846e-07,-0.622,0.0,3160.83,0.0,94.0,0,0.0,1,1111.48,0.0,0.0,-0.000605693,-0.333334,0.345263,0.39000000000000007,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.566388,Race,1,0,20250509_152659,1.74846e-07,-0.602,0.0,3160.83,0.0,94.0,0,0.0,1,1154.55,0.0,0.0,-0.000605693,-0.333334,0.345263,0.4200000000000001,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.586473,Race,1,0,20250509_152659,1.74846e-07,-0.582,0.0,3160.83,0.0,94.0,0,0.0,1,1202.73,0.0,0.0,-0.000605693,-0.333334,0.345263,0.4500000000000001,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
2025-05-09T15:27:01.606814,Race,1,0,20250509_152659,1.74846e-07,-0.562,0.0,3160.83,0.0,94.0,0,0.0,1,1256.14,0.0,0.0,-0.000605693,-0.333334,0.345263,0.48000000000000015,0,0.0,0.0,10.0,10.3528,11.547,14.1421,20.0,29.2381,38.6371,57.5878,114.737,200.0,57.3684,28.7938,19.3185,14.619,9.99999,7.07106,5.7735,5.17638,5.0,0.0,0.0,0.0,0.0
